gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744,Average
Ccera-CLP2057ext_RpL32_extContig427_-_CDS,Nontoxin,Nontoxin,2400.26,1936.06,2729.85,1870.59,1107.49,1451.18,2992.8,3984.58,2309.10125
Ccera-CLP2057ext_RpS8_ngenContig2481_-_CDS,Nontoxin,Nontoxin,1994.05,1904.76,2588.58,2360.12,1406.39,1846.2,2796.38,3385.06,2285.1925
Ccera-CLP2057ext_RpS17_ngenContig517_-_CDS,Nontoxin,Nontoxin,1838.04,1947.24,2380.01,2334.07,1018.46,2162.09,3086.64,3399.95,2270.8125
Ccera-CLP2057ext_RpS7_ngenContig394_-_CDS,Nontoxin,Nontoxin,1705.39,1789.01,2528.49,2050.63,790.06,1107.64,3145.37,4543.58,2207.52125
Ccera-CLP2065ngen_RpS24_ngenContig1009_-_CDS,Nontoxin,Nontoxin,1615.14,2433.78,1865.78,2523.57,1122.97,2154.83,2342.9,3420.03,2184.875
Ccera-CLP2057ext_RpL27a_extContig130_-_CDS,Nontoxin,Nontoxin,1886.24,1473.55,2811.95,1623.53,1112.21,1238.7,3006.9,3900.02,2131.6375
Ccera-CLP2057ext_RpL21_extContig304_-_CDS,Nontoxin,Nontoxin,1320.82,1894.65,2110.33,2304.4,916.5,1245.79,2942.38,4175.4,2113.78375
Ccera-CLP2057ext_RpS16_extContig83_-_CDS,Nontoxin,Nontoxin,1631.38,2201.45,2473.06,2382.86,1273.36,2076.41,2231.42,2630.11,2112.50625
Ccera-CLP2057ext_RpL18_extContig319_-_CDS,Nontoxin,Nontoxin,1260.34,1995.41,1987.77,1768.2,841.27,1318.9,3023.05,4427.05,2077.74875
Ccera-CLP2105ngen_60SAcRibP1_ngenContig612_-_CDS,Nontoxin,Nontoxin,1464.55,2870.11,991.24,2525.37,1315.57,1815.87,1970,3366.14,2039.85625
Ccera-CLP2057ext_RpL24_ngenContig727_-_CDS,Nontoxin,Nontoxin,1715.02,1747.35,2350.28,2016.89,1107.23,1349.64,2535.48,3414.43,2029.54
Ccera-CLP2057ext_RpL30_ngenContig4123_-_CDS,Nontoxin,Nontoxin,1686.94,1892.87,2088.69,1900.77,1203.65,1453.76,2936.02,3068.38,2028.885
Ccera-CLP2105ngen_PDI-A3_ngenContig2209_-_CDS,Nontoxin,Nontoxin,1787.73,2298.85,1350.99,2378.07,1632.91,2001.41,1789.63,2931.61,2021.4
Ccera-CLP2057ext_RpL36_ngenContig1813_-_CDS,Nontoxin,Nontoxin,1868.17,2142.07,2142.57,1887.93,1010.09,1822.17,2431.59,2817.49,2015.26
Ccera-CLP2057ext_RpL39_ngenContig3564_-_CDS,Nontoxin,Nontoxin,2118.25,1743.7,2632.37,1978.46,935.47,1372.02,2423.09,2850.52,2006.735
Ccera-CLP2057ext_RpP2_extContig175_-_CDS,Nontoxin,Nontoxin,2101.27,1718.06,1814.62,1483.92,947.67,1303.03,2663.08,3522.27,1944.24
Ccera-CLP2057ext_VType-e1_ngenContig3072_-_CDS,Nontoxin,Nontoxin,1817.13,2738.78,1898.82,2278.21,1320.99,2043.6,2245.79,1014.56,1919.735
Ccera-CLP2057ext_RpL26_extContig125_-_CDS,Nontoxin,Nontoxin,1386.99,1759.17,2063.48,1851.42,949.16,1033.88,2530.39,3743.01,1914.6875
Ccera-CLP2057ext_RpS14_extContig103_-_CDS,Nontoxin,Nontoxin,1642.37,1845.82,2109.76,1864.72,1022.11,1413.53,2041.33,2818.49,1844.76625
Ccera-CLP2071ngen_S100-A6_ngenContig939_-_CDS,Nontoxin,Nontoxin,557.88,850.88,4452.27,3438.06,453.34,434.7,2458.14,1823.53,1808.6
Ccera-CLP2057ext_Calglandulin_extContig226_-_CDS,Nontoxin,Nontoxin,1327.88,9830.66,516.55,1089.48,74.11,475.7,255.92,890.21,1807.56375
Ccera-CLP2057ext_Actin-a2_ngenContig3179_-_CDS,Nontoxin,Nontoxin,2196.42,8039.01,651.74,952.3,80.46,411.86,194.75,1854.82,1797.67
Ccera-CLP2057ext_40SrpS13_ngenContig4462_-_CDS,Nontoxin,Nontoxin,1560.72,1313.95,1938.03,1462.8,1015.17,1077,2704.49,2944.76,1752.115
Ccera-CLP2057ext_RpL11_ngenContig3728_-_CDS,Nontoxin,Nontoxin,1505.01,1644.48,1900.43,1626.05,893.93,1458.67,2053.43,2910.91,1749.11375
Ccera-CLP2057ext_RpL8_ngenContig2932_-_CDS,Nontoxin,Nontoxin,1421.85,1624.13,1858.53,1881.76,860.35,1398.28,2054.64,2656.03,1719.44625
Ccera-CLP2057ext_RpS25_ngenContig3771_-_CDS,Nontoxin,Nontoxin,1526.19,1673.78,1145.17,2040.67,1018.91,1683.08,1511.86,2830.14,1678.725
Ccera-CLP2057ext_RpL7-1_extContig6_-_CDS,Nontoxin,Nontoxin,1529.45,1057.59,1934.29,1453.21,841.02,1043.77,2620.76,2897.86,1672.24375
Ccera-CLP2105ngen_rCG21222_ngenContig5175_-_CDS,Nontoxin,Nontoxin,917.94,2983.36,1405.31,2129.2,1231.2,1944.89,1540.99,1195.23,1668.515
Ccera-CLP2057ext_GRP78_ngenContig3194_-_CDS,Nontoxin,Nontoxin,1400.4,2286.09,793.11,777.74,2474.58,2374.02,2451.83,732.68,1661.30625
Ccera-CLP2057ext_RpL13a_ngenContig2878_-_CDS,Nontoxin,Nontoxin,1065.87,1980.73,1780.16,1497.21,876.68,1012.39,1854.66,2858.79,1615.81125
Ccera-CLP2057ext_TCTP_ngenContig136_-_CDS,Nontoxin,Nontoxin,656.13,2711.84,1030.2,1716.14,1019.39,1056.68,1762.86,2920.41,1609.20625
Ccera-CLP2057ext_UbFUBI_ngenContig3556_-_CDS,Nontoxin,Nontoxin,1193.57,1580.55,1579.06,1778.82,815.65,1392.38,1621.17,2680.54,1580.2175
Ccera-CLP2057ext_PDI-A6_ngenContig3138_-_CDS,Nontoxin,Nontoxin,2279.21,1642.63,1793.31,636.78,1492.25,1843.69,1514.45,1329.45,1566.47125
