gene_id,class,toxin_family,CLP2057,CLP2065,CLP2068,CLP2071,CLP2105,CLP2109,CLP2137,KW1744
Ccera-CLP2105ngen_AcetCoASyn2_ngenContig2000_-_CDS,Nontoxin,Nontoxin,139,122,159,88,204,170,126,195
Ccera-CLP2057ext_AcetylCoA_ngenContig267_-_CDS,Nontoxin,Nontoxin,223,350,258,158,153,167,151,319
Ccera-CLP2105ngen_acetylCoA2_ngenContig2366_-_CDS,Nontoxin,Nontoxin,64,105,152,363,152,232,507,246
Ccera-CLP2068ngen_AcetylCoATrans1_ngenContig282_-_CDS,Nontoxin,Nontoxin,126,141,180,104,189,137,192,95
Ccera-CLP2065ngen_AcetylgalactosamineKin_ngenContig3152_-_CDS,Nontoxin,Nontoxin,141,155,126,202,162,190,108,155
Ccera-CLP2065ngen_AcetylglucosaminyltransA_ngenContig5465_-_CDS,Nontoxin,Nontoxin,482,411,525,369,231,449,475,522
Ccera-CLP2057ext_AcetylhydrolaseIBa_ngenContig371_-_CDS,Nontoxin,Nontoxin,161,224,148,215,142,202,183,197
Ccera-CLP2105ngen_Acetyltransferase15_ngenContig1124_-_CDS,Nontoxin,Nontoxin,38,62,55,60,53,73,83,61
Ccera-CLP2137ngen_ACSBG2_ngenContig1751_-_CDS,Nontoxin,Nontoxin,135,147,110,423,328,229,340,432
Ccera-CLP2057ext_Actin-a2_ngenContig3179_-_CDS,Nontoxin,Nontoxin,12502,38062,2930,5804,448,2090,846,12003
Ccera-KW1109ngen_Actin-a2_ngenContig5823_-_CDS,Nontoxin,Nontoxin,41,51,20,28,37,49,36,166
Ccera-CLP2057ext_Actin1_ngenContig232_-_CDS,Nontoxin,Nontoxin,496,1359,599,828,408,679,795,1964
Ccera-CLP2065ngen_Actin2_ngenContig36_-_CDS,Nontoxin,Nontoxin,5144,5960,7150,8174,4256,4424,6724,12229
Ccera-CLP2071ngen_actin231A_ngenContig89_-_CDS,Nontoxin,Nontoxin,127,165,110,294,238,182,311,270
Ccera-CLP2057ext_Actin23comp3_ngenContig1816_-_CDS,Nontoxin,Nontoxin,183,283,269,327,230,257,221,338
Ccera-CLP2065ngen_Actin3_ngenContig6494_-_CDS,Nontoxin,Nontoxin,462,594,590,436,443,565,579,569
Ccera-CLP2065ngen_Actin6_ngenContig4236_-_CDS,Nontoxin,Nontoxin,112,131,155,111,104,95,154,244
Ccera-CLP2057ext_ActinRel1B_ngenContig4013_-_CDS,Nontoxin,Nontoxin,907,1484,846,1815,845,1211,1239,915
Ccera-CLP2057ext_ActinRel2_ngenContig140_-_CDS,Nontoxin,Nontoxin,123,248,211,185,153,193,225,212
Ccera-CLP2057ext_ActinRel4_ngenContig4327_-_CDS,Nontoxin,Nontoxin,56,107,78,90,50,76,70,104
Ccera-CLP2109ngen_ActinRel5-1_ngenContig5448_-_CDS,Nontoxin,Nontoxin,106,78,31,109,79,176,94,129
Ccera-CLP2057ext_ActinRel5-2_ngenContig1402_-_CDS,Nontoxin,Nontoxin,45,47,43,32,23,35,40,62
Ccera-CLP2057ext_ActinRelComp2_ngenContig2219_-_CDS,Nontoxin,Nontoxin,226,611,328,519,311,354,390,474
Ccera-CLP2057ext_AcylCoA_ngenContig3807_-_CDS,Nontoxin,Nontoxin,220,125,274,350,121,163,188,393
Ccera-CLP2057ext_AcylCoABinding7_ngenContig2547_-_CDS,Nontoxin,Nontoxin,102,136,86,40,58,53,62,94
Ccera-CLP2068ngen_AcylCoADeh_ngenContig2535_-_CDS,Nontoxin,Nontoxin,80,68,135,92,68,87,86,50
Ccera-CLP2068ngen_AcylCoAoxidase1-1_ngenContig3400_-_CDS,Nontoxin,Nontoxin,481,567,561,585,634,489,537,457
Ccera-CLP2065ngen_ADE2_ngenContig2963_-_CDS,Nontoxin,Nontoxin,119,153,142,163,138,106,177,280
Ccera-CLP2057ext_AdeninePRT_ngenContig2962_-_CDS,Nontoxin,Nontoxin,665,839,318,1602,447,735,1223,2007
Ccera-CLP2105ngen_AdenMonTran_ngenContig4148_-_CDS,Nontoxin,Nontoxin,152,195,65,147,263,253,242,109
Ccera-CLP2068ngen_Adenosylhomocysteinase2_ngenContig2358_-_CDS,Nontoxin,Nontoxin,158,238,278,159,173,240,265,176
Ccera-CLP2057ext_AdenosylhomocysteinaseA_ngenContig2306_-_CDS,Nontoxin,Nontoxin,251,333,238,131,130,362,244,162
Ccera-CLP2071ngen_Adenovirus-E1B_ngenContig3572_-_CDS,Nontoxin,Nontoxin,12,40,3,44,11,12,5,42
Ccera-CLP2109ngen_AdenylateKin2_ngenContig1678_-_CDS,Nontoxin,Nontoxin,352,495,318,485,368,378,371,525
Ccera-CLP2057ext_AdenylateKin6_ngenContig2668_-_CDS,Nontoxin,Nontoxin,82,57,102,75,78,92,100,79
